,Accident date,Header,Deaths,Injured
0,2021-06-27,Four people killed in Jashore road accident,4.0,1.0
1,2021-06-23,Three killed in  Mymensingh road accident,3.0,0.0
2,2021-06-19,2 killed in Fatullah road accident,2.0,0.0
3,2021-06-18,"7 killed in three road accidents in Chattogram, Rangamati",7.0,22.0
7,2021-06-11,ASI killed in Chattogram road accident,1.0,0.0
8,2021-05-16,Mother-son killed in Sylhet road accident,2.0,7.0
9,2021-05-12,"RAB member, another killed in Gazipur road accident",2.0,6.0
10,2021-05-10,3 killed in Chattogram road accident,3.0,2.0
11,2021-05-03,Road accident kills two workers in Noakhali,2.0,2.0
12,2021-05-04,Couple killed in Meherpur road accident,2.0,5.0
13,2021-04-30,"4 killed, 7 injured in Rangpur road accident",4.0,7.0
14,2021-03-14,"One killed, 3 injured in Panchagarh road accident",1.0,3.0
15,2021-03-13,Two musicians killed in Chattogram road accident,2.0,5.0
16,2021-03-10,One killed in Panchagarh road accident,1.0,0.0
17,2021-02-15,Road accident kills one in Narail,1.0,0.0
18,2021-02-14,Two killed in Sylhet road accident,2.0,0.0
19,2021-02-12,Two killed in Rangpur road accident,2.0,0.0
20,2021-02-11,3 killed in Cox’s Bazar road accident,3.0,5.0
21,2021-02-08,"2 killed, 30 injured in Chandpur road accident",2.0,30.0
22,2021-02-03,Two killed in Jashore road accident,2.0,2.0
23,2021-01-31,4 killed in Sherpur road accident,4.0,2.0
24,2021-01-25,2 killed in Hili road accident,2.0,0.0
25,2021-01-23,One killed in Jashore road accident,1.0,0.0
26,2021-01-21,Woman killed in Meherpur road accident,1.0,1.0
27,2021-01-21,3 killed in Bandarban road accident,3.0,5.0
28,2021-01-18,Road accident kills couple in city,2.0,0.0
29,2021-01-03,7 killed in Mymensingh road accident,7.0,0.0
30,2021-01-01,Four killed in Narsingdi road accident,4.0,1.0
31,2021-06-03,4 sustain burns in Savar factory accident,4.0,0.0
32,2021-04-05,21 policemen injured in Brahmanbaria accident,0.0,21.0
33,2021-03-16,Police officer killed in Feni bike accident,1.0,1.0
34,2021-01-16,35pc of accidents are on motorbikes,0.0,26.0
35,2021-06-27,2 killed in Sitakunda road crashes,0.0,1.0
37,2021-06-26,Road crash claims two in Gulshan,2.0,2.0
38,2021-06-25,Two Ansar men killed in Jashore road crash,0.0,2.0
39,2021-06-24,"Truck driver, helper killed in Naogaon road crash",2.0,0.0
40,2021-06-22,Mango trader killed in road crash,1.0,3.0
41,2021-06-20,2 motorcyclists killed in Chattogram road crash,2.0,3.0
42,2021-06-19,"Couple, new born granddaughter killed in Bogura road crash",3.0,3.0
43,2021-06-18,"Dhaka road crash kills mother, injures daughter",1.0,1.0
44,2021-06-09,2 die in Panchagarh road crash,2.0,1.0
45,2021-06-04,Two bikers killed in Naogaon road crash,2.0,0.0
46,2021-06-04,2 killed in Gopalganj road crash,2.0,3.0
