date_of_incident,time_of_incident,published-time,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,description_text,full_text,published-time,link
2021-06-19,,"19 Jun 2021, 09:29",,old Dhaka-Narayanganj highway,2.0,,battery-run auto-rickshaw,covered van,2 killed in Fatullah road accident,"Two passengers of a battery-run auto-rickshaw were killed when it collided with a covered van on the old Dhaka-Narayanganj highway adjacent to Masdair Amena Garments of Fatullah, reports UNB. The deceased have been identified as Afasar Uddin, 56 and Abbas Uddin, 48. Rakibuzzaman, officer-in-charge, Fatullah model police station confirmed the news. ""The locals rushed the injured to Narayanganj General Hospital where the duty physician declared two of them dead, "" he said. ""Locals held the driver of the covered van and handed him over to police."" At least 468 people were killed and 507 others injured in 432 road accidents across the country in April amid the nationwide lockdown, according to a report of Bangladesh Jatri Kalyan Samity.  Besides, six more people were killed in eight accidents on rail tracks, 38 people were killed and nine others injured in 14 accidents on river routes while two others went missing during the month. ","19 Jun 2021, 09:29",https://en.prothomalo.com/bangladesh/accident/2-killed-in-fatullah-road-accident
2021-06-19,,"19 Jun 2021, 02:22",head-on,Bogura,3.0,3.0,Bus,Auto Rickshaw,"Couple, new born granddaughter killed in Bogura road crash","A couple and their new born granddaughter were killed and three others injured as a bus collided head-on with a CNG-run auto-rickshaw in the district on Saturday, reports UNB. The deceased were identified as Ashraf Ali, 50, his wife Parul Khatun, 45, and their one and a half months old granddaughter Rezwan. The accident occurred at Hathibanddha of Shibganj Upazila around 9:00am when the Rangpur-bound bus of “Ahsan Paribahan” from Dhaka had a head-on collision with the Bagura-bound auto-rickshaw. Those three were killed on the spot, said Md Mizan, sub-inspector of Shibganj police station. The three injured were taken to Shaheed Ziaur Rahman Medical College and Hospital, he added. Fatal road accidents are common in Bangladesh. Road accidents during last Eid-ul-Fitr holiday rush claimed 323 lives in just 15 days, according to Bangladesh Jatri Kalyan Shamiti.","19 Jun 2021, 02:22",https://en.prothomalo.com/bangladesh/accident/couple-new-born-granddaughter-killed-in-bogura-road-crash
2021-06-18,,"18 Jun 2021, 09:58",,Chattogram and Rangamati,7.0,22.0,,,"7 killed in three road accidents in Chattogram, Rangamati","At least seven people, including women and children, have been killed in three separate road accidents in Chattogram and Rangamati on Friday, reports UNB. About 22 more people were injured in these accidents. The accidents occurred in EPZ Steel Mills Bazar and Shikalbaha area of Karnafuli police station on Friday. According to police, three people, including a woman and a child, were killed when a bus overturned at Steel Mills Bazar area under EPZ police station around 12:00pm.   Witnesses said a speeding bus hit a rickshaw at Sailo Road and crushed the pedestrians, losing its control while escaping at Friday noon. EPZ police officer-in-charge Utpal Barua said the mob detained the driver and helper of the bus and handed them over to the police. The bus was also seized.  Meanwhile, three people were killed and at least 20 others injured in a head-on collision between two buses at Shikalbaha Chaumuhoni area of Karnafuli upazila. However, the identities of the injured were not immediately known.  Police TI Anwar Azim said two buses collided while overtaking a CNG, injuring several passengers of the two buses. Two of them died.  In Rangamati, a ninth-grader schoolgirl was killed in a head-on collision between a motorbike and a Jeep at Bangalhaliya's Shafipur area of Rajasthali-Chandraghona highway on Friday morning.  The deceased was identified as Opruiching Marma, 18, daughter of Mongbaching Marma of Farua union in Bilachhari upazila. She is a ninth-grader student of Chitmaram High School.  Two people including a motorcyclist were injured in the accident.  Md Iqbal Bahar Chowdhury, officer-in-charge (OC) of Chandraghona police station, said legal action is being taken in this case. Police are searching for the jeep.","18 Jun 2021, 09:58",https://en.prothomalo.com/bangladesh/accident/7-killed-in-three-road-accidents-in-chattogram-rangamati
2021-06-18,,,head-on,Chattogram,3.0,20.0,Bus,Bus,,,,
2021-06-18,,,head-on,Rangamati,1.0,2.0,motocycle,Jeep,,,,
2021-06-18,,,head-on,Chattogram,3.0,,Bus,Auto Rickshaw,,,,
2021-06-18,,"18 Jun 2021, 20:33",Ran over,Dhaka,1.0,1.0,Bus,Pedestrian,"Dhaka road crash kills mother, injures daughter","A mother was killed and her daughter injured in the capital Friday night as a bus ran over them when they were crossing a road. The incident happened in front of the Suvastu NAZAR Valley Shopping Mall in Gulshan, reports UNB. The deceased was identified as Sheikh Fauzia Ripa, 42. The injured was a college student at BAF Shaheen College and was identified as Anisha, 18. According to witnesses, the pedestrians took the mother and daughter to the emergency unit of Dhaka Medical College where the on-duty physician declared Ripa dead at 10 pm. Anisha is currently undergoing treatment in critical condition at the hospital. Bacchu Miah, inspector of Dhaka Medical College Hospital police outpost, confirmed the death to UNB.","18 Jun 2021, 20:33",https://en.prothomalo.com/bangladesh/accident/dhaka-road-crash-kills-mother-injures-daughter
2021-06-11,16:00:00,"11 Jun 2021, 01:41",,Chattogram,1.0,0.0,microbus,,ASI killed in Chattogram road accident,"An assistant sub-inspector (ASI) of police, Kazi Md Salahuddin, was killed in a road accident early Friday at Meheraj Khan Ghata in Chandgaon, Chattogram. He had been on the way to recover a consignment of local liquor when he was hit by a vehicle and killed. The deceased Kazi Md Salahuddin was the ASI of Chandgaon police station. He was the son of Kazi Nader Zaman of South Jaipur of the sadar thana in Lakshmipur district. Officer-in-charge (OC) of Chandgaon police station, Mustafizur Rahman, told Prothom Alo on Friday morning that Salahuddin had been on night duty in Maulvi Pukurpar, C&B and adjacent areas. He was tipped off about a black microbus (registration no. Dhaka Metro Cha 15- 3665) carrying local liquor from the hill tracts to Chattogram city. The OC further said Salahuddin and his driver constable Md Masum signalled the microbus to halt in front of the Meheraj Khan Ghata petrol pump in Chandgaon police station around 4:00 am. The microbus slowed down and the two members of the police went forward. But the microbus driver suddenly picked up speed and the vehicle hit Salahuddin. He fell to one side of the road, receiving injuries in his head, back and other parts of his body. Masum was injured too. OC Mustafizur Rahman said Salahuddin was taken to Chattogram Medical College Hospital. Masum is under treatment there. The microbus has been seized by the police, but the driver and his associates fled. Around 730 litres of local liquor was recovered from the vehicles. He said, a drive is on to arrest the driver and the others in the vehicle.","11 Jun 2021, 01:41",https://en.prothomalo.com/bangladesh/accident/asi-killed-in-chattogram-road-accident
2021-06-09,,"09 Jun 2021, 21:58",Lost control,Panchagarh,2.0,1.0,Van,Van,2 die in Panchagarh road crash,"Two persons were killed and another one was injured in a collision between a covered van and a pick-up van on Panchagarh-Tentulia highway on Wednesday night, police said on Thursday. The deceased were identified as Rubel, 25, of Kalandiganj Boalmari in Tentulia, and Swapan, 22, of Phultala in Boda upazila, reports UNB. The accident occurred in the Buraburi area of Panchagarh’s Tentulia upazila. “A Panchagarh-bound covered van hit a pick-up van after its driver lost control of the vehicle. The collision left two persons dead on the spot,” said Abu Sayem, officer-in-charge of Tentulia Model police station. “The injured person has been admitted to a local hospital,” he said, adding that a probe “is underway”.","09 Jun 2021, 21:58",https://en.prothomalo.com/bangladesh/accident/2-die-in-panchagarh-road-crash
2021-06-04,22:00:00,"05 Jun 2021, 05:04","OverSpeeding, Ran over",Naogaon,2.0,,Truck,Motorcycle,Two bikers killed in Naogaon road crash,"Two men returning home on a bike were crushed to death by a speedy truck on the Rajshahi-Naogaon highway in Bijoypur on Friday night. The deceased were identified as Saidur Rahman, 35, son of Nazir Uddin of Badalghata village under Manda Sadar upazila, and Alfaz Hossain, 35, son of Ashar Ali of the same village. Manda police station's officer-in-charge Shahinur Rahman said that the accident occurred around 10:00pm when the victims were returning home from work.  ""A speedy truck hit the bike as its driver failed to spot them. The duo died on the spot after getting crushed under the wheels of the truck,"" he said. Local police rushed to the spot soon after being informed by passersby and sent the bodies to the local hospital morgue for an autopsy. ""The bodies have been handed over to their family members,"" the OC said. A case has been filed at Manda police station in connection with the accident.","05 Jun 2021, 05:04",https://en.prothomalo.com/bangladesh/accident/two-bikers-killed-in-naogaon-road-crash
2021-06-04,14:45:00,"04 Jun 2021, 09:12",head-on,Gopalganj,2.0,3.0,microbus,Van,2 killed in Gopalganj road crash,"At least two people were killed and three others injured in a road crash in Gopalganj's Kashiani as a microbus and a pickup van collided head-on, reports UNB. The deceased were identified as NRBC Bank minibus driver Zafar Hossain, 42, son of Erfan in Bakerganj, Barishal and the pickup van driver Imran, 35, son of Mosharraf Hossain of Kathi village under Gopalganj Sadar upazila. The accident occurred near Dhusar bridge in Kashiani upazila on the Dhaka-Khulna highway at around 2:45pm on Friday. Abu Naeem, inspector of Bhatiapara outpost of Faridpur's Bhanga highway police station, said a NRBC Bank microbus was going from Dhaka to Satkhira. The incident took place when the microbus collided head-on with a pickup van coming from the opposite direction in Kashiani upazila.  The driver of the microbus Zafar Hossain died on the spot. Police and fire service members rescued the pickup van driver and took him to Kashiani Upazila Hospital where he died while undergoing treatment. ","04 Jun 2021, 09:12",https://en.prothomalo.com/bangladesh/accident/2-killed-in-gopalganj-road-crash
2021-06-03,21:00:00,"03 Jun 2021, 22:40",,Savar,4.0,,,,4 sustain burns in Savar factory accident,"In a freak accident, four workers sustained burn injuries when hot water from a boiler spilled on them at a factory in Savar on Thursday, reports UNB. The injured workers have been identified as Rashedul, Hasan, Sandwip and Anwar. They are being treated at Enam Medical College and Hospital. The accident happened at SDS Yarn Dyeing factory in the Kuturia area of Savar’s Ashulia around 9:00 pm on Thursday. Hospital’s medical officer Nahiyan Binte Mojib said, “Rashedul and Hasan have been shifted to the hospital ICU as they sustained 60 per cent burns. The other two victims are being treated in the general ward.” Family members of the injured said that hot water from the factory’s boiler suddenly spilled on them, leading to the accident. Officer-in-Charge of Ashulia police station Kamruzzaman said that he was aware of the accident at the factory.","03 Jun 2021, 22:40",https://en.prothomalo.com/bangladesh/accident/4-sustain-burns-in-savar-factory-accident
2021-06-03,,"03 Jun 2021, 02:35",rear-end,Gazipur,1.0,1.0,Van,Truck,Teen killed in Gazipur road crash,"A 13-year-old boy died and another person sustained serious injuries after their pickup van crashed into a truck on the Dhaka-Mymensingh highway in Gazipur on Thursday morning. The deceased has been identified as Maruf, the helper of the pickup van. The vehicle’s driver has been injured in the accident. Eyewitnesses said the pickup van was travelling at a very high speed and it hit the Mymensingh-bound truck from behind in the Member Bari area of Gazipur Sadar after its driver lost control of the vehicle. The impact of the crash was such that Maruf died on the spot, police said. “The severely injured driver has been admitted to Mymensingh Medical College Hospital,” Md. Kamal Hossain, Officer-in-Charge of Mauna Highway Police Station, said. The body of the helper has been sent to Shaheed Tajuddin Ahmed Medical College Hospital for an autopsy, the OC added.","03 Jun 2021, 02:35",https://en.prothomalo.com/bangladesh/accident/teen-killed-in-gazipur-road-crash
2021-06-03,,"04 Jun 2021, 00:21",head-on,Thakurgaon,2.0,6.0,auto-rickshaw,3-wheeler,"2 killed, 6 hurt in Thakurgaon road crash","Two persons were killed and six others injured in a head-on collision between a three-wheeler and an auto-rickshaw in the Pallibidyut area of Thakurgaon Sadar on Thursday afternoon. Police said on Friday that one of the deceased was a businessman from Bogura district. The identity of the others has not yet been known. Eyewitnesses said while one person died on the spot in the impact of the collision, seven others—all passengers of the two vehicles—sustained injuries. Local residents and fire service personnel rushed the victims to the nearby Adhunik Sadar Hospital, where one of the injured succumbed to his injuries. Md Rakibul Alam, resident medical officer of Sadar Hospital, said the condition of two of the injured was critical. “They have been sent to Rangpur Medical College Hospital for better treatment,” he said.","04 Jun 2021, 00:21",https://en.prothomalo.com/bangladesh/accident/2-killed-6-hurt-in-thakurgaon-road-crash
2021-05-26,15:00:00,"27 May 2021, 09:07",head-on,Bhola,3.0,5.0,Bus,Auto Rickshaw,Road crash kills three in Bhola,"At least three people were killed and five others injured in a head-on collision between a passenger bus and an auto-rickshaw in Ginger Haat area on the Bhola-Charfashion road under Sadar upazila of the district Wednesday afternoon, reports BSS. The deceased were Aziz, 40, Miraj, 30, and Sohag, 12. Officer-in-charge (OC) of Bhala model police station Md Enayet Hossain told BSS that the bus left Bhola bus stand with passengers for Charfashion.  On the way, an auto rickshaw collided head-on with the bus coming from opposite direction in the area around 3:00pm, leaving three people dead on the spot and wounding five others, he added. The injured were sent to Sadar Hospital while critically injured three of them were referred to Barisal Sher-e-Bangla Medical College Hospital, the OC said. Supervisor of Bhola Sadar Hospital physician Md Sirajuddin said the bodies were kept at hospital for autopsy.","27 May 2021, 09:07",https://en.prothomalo.com/bangladesh/accident/road-crash-kills-three-in-bhola
2021-05-21,18:45:00,"21 May 2021, 06:00",head-on,Brahmanbaria,2.0,3.0,microbus,Van,Road crash claims two lives in Brahmanbaria,"At least two persons were killed and three others injured in a head-on collision between a microbus and a pickup van on the Dhaka-Sylhet highway in Budhanti union of Bijoynagar upazila early on Friday morning.  One of the deceased has been identified as Roni Khondokar, 13, son of Ripon Khondokar of Shayestaganj in Habiganj.  The accident occurred early this morning when the Sylhet-bound microbus hit the pick-up coming from the opposite direction, said Md Shah Jalal Alam, officer-in-charge of Highway Police. The bodies of the deceased have been kept at the Highway police station, the OC added. On Thursday, three persons were killed in an accident on the high-speed corridor when a car hit a stationary truck at around 6.45 am at Amtali in Bijoynagar upazila of Brahmanbaria. ","21 May 2021, 06:00",https://en.prothomalo.com/bangladesh/accident/road-crash-claims-two-lives-in-brahmanbaria
2021-05-19,,"19 May 2021, 19:48",head-on,Naogaon,1.0,,motocycle,3-wheeler,Youth killed in Naogaon road crash,"A man was killed in a road accident in Naogaon‘s Porsha upazila on Wednesday, UNB reports. The deceased was identified as Hafez Rubel, 28, son of one Mohsin Ali of Saraigachhi village under the same upazila. The accident occurred at Saraigachhi crossroad in the afternoon. Porsha Police Station’s officer-in-charge (OC) Shafiul Azam Khan said Rubel reached Saraigachhi crossroad on a motorcycle when it collided head-on with a three-wheeler. He was taken to Porsha Upazila Health Complex where the doctor declared him dead. OC Shaiful said that the three-wheeler was seized but the driver managed to escape. A case was filed in this regard.","19 May 2021, 19:48",https://en.prothomalo.com/bangladesh/accident/youth-killed-in-naogaon-road-crash
2021-05-18,06:45:00,"20 May 2021, 00:10","Lost control, Overspeeding",Brahmanbaria,3.0,4.0,Car,Truck,"Husband, wife among three killed in road crash","A couple among three were killed and four were injured as a private car crashed into a parked truck on Dhaka-Sylhet highway in Bijaynagar upazila of Brahmanbaria on Monday morning. The deceased were identified as Md Sagar, 35, his wife Shirin Akhter and the driver of the car Bilal Sarkar, 35. The injured are Shirin’s wife Naba Akhter, sister Sumi Akhter, relatives Md Julhas, 28 and Md Nayon, 25. UNB adds: The accident occurred early this morning. “The car hit the stationary goods-laden truck on the high-speed corridor around 6.45 am, after its driver lost control of the speeding vehicle,” said Md Shahjalal Alam, officer-in-charge of Highway Police. “The impact of the crash was such that the driver and another occupant of the car died on the spot,” he said. The other four injured occupants were taken to Madhupur Upazila Health Complex in Habiganj, where physicians declared one of them dead on arrival. The condition of the other three is said to be critical, the officer said. “A probe has been ordered into the accident,” he added.","20 May 2021, 00:10",https://en.prothomalo.com/bangladesh/accident/husband-wife-among-three-killed-in-road-crash
2021-05-17,01:30:00,"16 May 2021, 21:41",rear-end,Mymensingh,3.0,1.0,Van,Truck,Road crash kills three of a family in Mymensingh,"Three people of a family were killed and another injured as a pick-up van crashed into a truck on Dhaka-Mymensingh highway at Trishal upazila in Mymensingh in the early hours of Monday. Police sources said the accident took place in Raimoni area of the upazila around 1:30am on Monday. The deceased were Aman Ullah, 38, his sister Nazma Akhter, 32, and her daughter Lalmoni, 7, from Bagherchar village of Sadar upazila in Shrpur while the injured was Akram Hossain, 50, driver of the pick-up involving the accident. Officer-in-charge (OC) of Trishal police station Main Uddin confirmed the deaths. He said a goods-laden pick-up van, carrying three people of a family, was going to Dhaka. The vehicle hit a Dhaka-bound truck from behind in Raimoni area as the driver of the pick-up van lost control. The accident left three people of a family dead on the spot and the pick-up van injured critically. The injured driver has been sent to Mymensingh Medical College Hospital, the OC added.","16 May 2021, 21:41",https://en.prothomalo.com/bangladesh/accident/road-crash-kills-three-of-a-family-in-mymensingh
2021-05-16,13:30:00,"16 May 2021, 07:29",head-on,Dhaka-Sylhet highway,2.0,7.0,private car,bus,Mother-son killed in Sylhet road accident,"A woman and her two-year-old son died in a head-on collision between a private car and a bus on Dhaka-Sylhet highway in Sylhet on Sunday, reports UNB. Five others were injured in the accident. Police identified the deceased as Beauty Roy, wife of Gopesh Roy of Nabiganj upazila in Habiganj, and her son Rupak Roy. The accident occurred at Satmail around 1:30pm when the Dhaka-bound bus collided with the Sylhet-bound private car. Beauty Roy died on the spot and her son succumbed to his injuries while being taken to the hospital, said Monirul Islam, officer-in-charge of South Surma police station.","16 May 2021, 07:29",https://en.prothomalo.com/bangladesh/accident/mother-son-killed-in-sylhet-road-accident
2021-05-15,09:30:00,"15 May 2021, 01:36",head-on,Chapainawabganj,3.0,7.0,truck,electric rickshaw,3 dead in Chapainawabganj road crash,"Three paddy field workers were killed and seven others injured in a head-on collision between a truck and an electric rickshaw in Nachole upazila of Chapainawabganj district on Saturday, reports UNB. The deceased were identified as Rezaul Karim, son of Yunus Ali, Tosiqul Islam, son of Tajemul, and Alauddin Haque, son of Nazrul Islam of Gomostapur upazila. The accident took place at Dhansuramor around 9:30am when the Nachole-bound truck carrying paddy hit the e-rickshaw coming from the opposite direction. The impact of the collision was such that the e-rickshaw overturned, and three died on the spot. Cops were alerted by passersby and a team from the local police station and fire station rushed to the spot and sent the injured to Nachole Upazila Health Complex. Five of the injured have been shifted to Rajshahi Medical College and Hospital as their condition is said to be critical, police said. A probe has been ordered into the accident, an official said.","15 May 2021, 01:36",https://en.prothomalo.com/bangladesh/accident/3-dead-in-chapainawabganj-road-crash
2021-05-12,,"12 May 2021, 09:50",rear-end,Dhaka-Mymensingh highway,2.0,6.0,microbus,Van,"RAB member, another killed in Gazipur road accident","Two people, including a member of Rapid Action Battalion (RAB-4), were killed when a microbus hit a stationary RAB vehicle on Dhaka-Mymensingh highway in Gazipur on Wednesday, reports UNB. The deceased were identified as Mohammad Khairul Islam, a member of RAB-4 and motor mechanic Liton Mia, said RAB SI Md Rakib. Other four injured are RAB’s senior warrant officer Md Shariful Islam, soldier Atiq, corporal Pradeep Kumar and motor mechanic Rifat. They have been airlifted to Dhaka CMH from Sreepur Hospital in Gazipur in a special helicopter, said Maona Highway police camp in-charge Kamar Hossain.  SI Rakib said a microbus of RAB-4 went to Bhabanipur area of Gazipur sadar upazila and suddenly it stopped running due to mechanical fault on the way from Dhaka to Sreepur. Later, local mechanics Rifat and Liton were called to repair it. All of a sudden, another speedy microbus hit the RAB-4 stationary van from behind, leaving four RAB members and two mechanics were seriously injured. Later, they were taken to Al Hera Medical Center in Sreepur upazila for treatment where the duty physician declared Khairul Islam dead. ","12 May 2021, 09:50",https://en.prothomalo.com/bangladesh/accident/rab-member-another-killed-in-gazipur-road-accident
