date_of_incident,time_of_incident,published-time,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,description_text,full_text,published-time,link
2021-06-27,12:25:00,"27 Jun 2021, 09:07",,"Benapole highway, Jessore",4.0,1.0,private car,truck,Four people killed in Jashore road accident,"Four people were killed and another injured on Sunday in a collision between a truck and a private car at Dhopakhola Nimtala on Jessore-Benapole highway in sadar upazila, reports UNB. The deceased are Sadman, 27, son of Iqbal Chowdhury of Bayazid police station, Naim, 35, son of Ismail, Syed, 45, son of Badshah and Shahabuddin, son of Zahir Ahmed of the same area. According to highway police, five people were going to Benapole from Chattogram in a private car to buy cows. The private car collided with a Jashore-bound truck when it reached Dhopakhola at 12:25pm, leaving four people dead on the spot. Ali Newaz, who sustained injuries, was admitted to Jessore General Hospital. The driver managed to escape with the truck after the accident. Navaran highway police SI Md Wahid said the bodies were recovered.","27 Jun 2021, 09:07",https://en.prothomalo.com/bangladesh/accident/four-people-killed-in-jashore-road-accident
2021-06-27,12:00:00,,head-on,Chattogram,,1.0,,Pedestrian,,,,
2021-06-27,10:30:00,15 hours ago,head-on,Chattogram,,1.0,Van,Motorcycle,2 killed in Sitakunda road crashes,"Two people, including a biker, were killed in separate road accidents in Chattogram’s Sitakunda on Sunday. The deceased were identified as Sayed Hossain Rony, 38, son of one Golam Chandani of Mirsarai and Nirmal Das, 50, of Muhuri Para village of Kumira union. The incidents occurred in upazila’s Kumira at 10:30 am and in front of Ghoramora Islamic University at 12:00 pm. According to police, Sayed Hossain Rony was killed on the spot when his motorcycle was hit by a Chittagong-bound covered van in front of the Islamic University in Ghoramara area, right after loading oil from a nearby petrol pump. On the other hand, while crossing the road near Ilias Petrol Pump in Kumira, a pedestrian, Nirmal Das, was hit by a Chittagong-bound vehicle carrying bitumen. He died on the spot. Baro Aulia Police Station Highway Police OC Nazrul Islam said that the bodies were recovered from the spots and the vehicles were seized.",15 hours ago,https://en.prothomalo.com/bangladesh/accident/2-killed-in-sitakunda-road-crashes-2
2021-06-26,12:45:00,"26 Jun 2021, 09:30",head-on,Gulshan,2.0,2.0,Van,PushCart,Road crash claims two in Gulshan,"Two workers of a pushcart were killed leaving two more injured as a pickup van hit them at Gulshan in the capital on Saturday. The deceased identified as Arif Uddin (32) and Abdur Rahman Babul (44), reports UNB. Sub-inspector (SI) Mohammad Nuruzzaman of Gulshan police station said the accident took place at 12.45 pm. Being informed, critically injured Arif and Babul were rushed to Dhaka Medical College Hospital where the on-duty physician declared them dead at around 2:45 pm. Injured worker Kashem said he along with the three other was going to Coca-cola from Kalachandpur carrying rubbish on the pushcart when a pickup van hit it near Kalachandpur crossing. The dead bodies kept at the DMCH morgue for autopsy. ","26 Jun 2021, 09:30",https://en.prothomalo.com/bangladesh/accident/road-crash-claims-two-in-gulshan
2021-06-25,13:30:00,"25 Jun 2021, 09:01",rear-end,Jashore,0.0,2.0,motocycle,Truck,Two Ansar men killed in Jashore road crash,"Two Ansar men on Friday were killed in as their motorcycle hit a stationed truck Abhaynagar upazila of Jashore, reports UNB. The deceased were identified as Shahadat Hossain, 38, of Gazipur’s Kaliakoir upazila, and Nazrul Islam, 34, of Kushtia’s Mirpur upazila. Shahadat Hossain was a member of Jashore Navaran Ansar Battalion and Nazrul Islam of Khulna's Elahipur Ansar Battalion. The incident occurred in Alipur area of Jashore-Khulna highway. Citing witnesses, police said that Shahadat and Nazrul were going to Jashore on a motorcycle. At around 1.30 pm in Alipur area of Abhaynagar upazila it rammed into the back of a truck parked on the highway leaving Nazrul dead on the spot. Locals rushed Shahadat to Abhaynagar Upazila Health Complex where the emergency department physician declared him dead. Nawapara highway police officer-in-charge (OC) Mohammad Abdullah said the driver managed to escape with the truck after the accident. Attempts were being made to arrest him. The bodies were sent to Jashore General Hospital morgue for autopsy. An unnatural death was registered at Abhaynagar police station.","25 Jun 2021, 09:01",https://en.prothomalo.com/bangladesh/accident/two-ansar-men-killed-in-jashore-road-crash
2021-06-24,,"24 Jun 2021, 20:00",head-on,Naogaon,2.0,0.0,Truck,Bus,"Truck driver, helper killed in Naogaon road crash","Two people were killed in a head-on collision between a truck and a bus at Satihat Panchamitala in Naogaon’s Manda Upazila on Thursday afternoon, police said, UNB reports. The deceased were identified as truck driver Masud Rana, 28, from Rajshahi and helper Omar Russel, 20, from Noakhalli. Shahinur Rahman, Officer-in-charge (OC) of Manda Police Station, said a mini truck carrying poultry was heading towards Rajshahi from Naogaon and collided head-on with a passenger bus at Satihat Panchamitala in Manda in the afternoon. Two people in the truck died on the spot. No casualties have been reported from the bus. A case has been filed with Manda police station in this regard, the OC added.","24 Jun 2021, 20:00",https://en.prothomalo.com/bangladesh/accident/truck-driver-helper-killed-in-naogaon-road-crash
2021-06-23,20:00:00,"23 Jun 2021, 01:29",,Mymensingh-Tangail highway,3.0,0.0,motocycle,truck,Three killed in  Mymensingh road accident,"Three people, including a motorcycle rider, were killed in a road accident on the Mymensingh-Tangail highway in Rasulpur area under Muktagachha upazila of the district on Tuesday, reports BSS. The deceased were identified as motorcycle rider Selim, 25, Sabuj, 20, and Onta, 19. All the deceased are from Charipara village of Muktagachha upazila. Officer-in-charge (OC) of Muktagachha police station, Dulal Akand said the accident occurred when a speedy truck crushed with a motorcycle in the area around 8.00pm, leaving motorcycle rider Selim dead on the spot and injuring the other riders. Being informed, police rushed to the spot and recovered the dead body. The wounded were taken to Muktagachha Upazila Health Complex where on-duty doctors declared Sobuj dead. Onta was shifted to Mymensingh Medical College Hospital (MMCH) as his condition deteriorated. Later, he succumbed to his injuries at the hospital, the OC said. Police has detained the truck along with its driver, said the police officer.","23 Jun 2021, 01:29",https://en.prothomalo.com/bangladesh/accident/three-killed-in-mymensingh-road-accident
2021-06-22,,"22 Jun 2021, 00:06",Lost control,Natore,1.0,3.0,Truck,,Mango trader killed in road crash,"A 50-year-old mango trader was killed when a truck he was travelling in crashed into a tree at Tebaria bypass in Natore early Tuesday, UNB reports. The deceased was identified as Selim Hawladar, a resident of Madaripur district. Three more persons sustained injuries in the accident that occurred after the truck driver lost control of the vehicle, police said. Locals rescued all the victims and rushed them to Natore Sadar Hospital, where Selim was declared dead on arrival. Abdul Hakim, officer-in-charge (investigation) of Natore police station, said no case has been filed in connection with the accident.","22 Jun 2021, 00:06",https://en.prothomalo.com/bangladesh/accident/mango-trader-killed-in-road-crash
2021-06-20,22:00:00,"20 Jun 2021, 23:06",Lost control,Chattogram,2.0,3.0,motocycle,,2 motorcyclists killed in Chattogram road crash,"Two motorcyclists were killed and another was injured in a road accident at Economic Zone area in Mirsarai upazila of Chattogram district on Sunday night. The deceased were identfied as Zabed Hossain, 30 and his nephew Nazmul Hossain, 12 of the upazila. The accident occurred around 10:00 pm when the motorbike off the road after its rider lost control over it, leaving three people injured, said Shilbrata Barua, assistant sub-inspector of Chattogram Medical College and Hospital police camp. Later, they were taken to the hospital where the physicians declared the two dead.","20 Jun 2021, 23:06",https://en.prothomalo.com/bangladesh/accident/2-motorcyclists-killed-in-chattogram-road-crash
2021-06-19,00:00:00,"19 Jun 2021, 21:28",head-on,Narsingdi,5.0,7.0,truck,MicroBus,"Five killed in Narsingdi truck-microbus collision, 7 injured","At least five people including two children were killed and seven others injured in a collision between a truck and a microbus in Narsingdi Sadar upazila. The accident took place on Ghorashal-Tongi regional road in Panchdona area that falls under the jurisdiction of Madhabdi police station in Sadar upazlia around 12:00am on Sunday. All of the deceased and injured are from Zirabo area of Dhaka’s Ashulia and they are relatives. The deceased were Mukti Akter, 30, her eight-year-old son Sadekul, Rubi Akter, 40, her three-year-old daughter Rahima, and Rokyea Begum, 52, while the injured were Razia, 40, Saifa, 12, Ishrat Jahan, 12, Samsunnahar, 60, Sharmin, 35, Rashid, 40, and deceased Rubi Akter's husband Kazimuddin, 52. All of them were the passenger of the microbus. Quoting the injured, police said there were 14 people including the driver in the microbus. All of the passengers were relatives. The law enforcement further said the passengers went to the shrines in Sylhet from Ashulia on Saturday by the microbus. They were returning from there on Sunday. A truck, coming from opposite direction, collided with the microbus at Sakura intersection in the Panchdona area, leaving the casualties. The crash left the microbus twisted. The injured were rushed to the Narsingdi Sadar Hospital.  Narsingdi Sadar Hospital’s emergency department physician Md Asaduzzaman said nine people, including the child Sadekul, were brought to the hospital. Sadekul succumbed to his injuries on the way to the hospital. Four out of eight injured have been shifted to the capital for better treatment, he added. According to police and physicians, Mukti and Rahima died on the spot. One of the injured Rubi Akter succumbed to her injuries on the way to Dhaka. Relatives also tried to take Rokey Begum to Dhaka from the spot. But she died on way to the hospital, sub-inspector of Madhabdi police station Zahidul Islam confirmed Prothom Alo. Narsingdi’s additional superintendent of police (administration) Imamul Haque said five people were killed in the accident. The truck involving the accident was seized. However, its driver has escaped. Efforts are on to detain the driver, he added.","19 Jun 2021, 21:28",https://en.prothomalo.com/bangladesh/accident/five-killed-in-narsingdi-truck-microbus-collision-7-injured
