Newspaper Name,Accident date,Header,News title,Deaths,Injured
Dhaka Tribune,May 17 2021,"Mother killed, son injured in Gulshan road accident","Mother killed, son injured in Gulshan...",1,0
Dhaka Tribune,May 17 2021,OP-ED: A case for 30kmh,OP-ED: A case for 30kmh,0,0
Dhaka Tribune,May 15 2021,"4 killed in road accidents in Tangail, Chapainawabganj",4 dead in road accidents,4,0
Dhaka Tribune,May 15 2021,Premium Sweets owner among 3 dead in Canada road crash,3 Bangladeshis killed in Canada road...,3,0
Dhaka Tribune,May 12 2021,Road crashes kill 10 across Bangladesh,Road crashes kill 10 across...,10,0
Dhaka Tribune,May 10 2021,3 killed in Chittagong road accident,3 killed in Chittagong road...,3,0
Dhaka Tribune,May 8 2021,"4 killed in road accidents in Rajshahi, Natore","4 killed in road accidents in Rajshahi,...",4,0
Dhaka Tribune,May 6 2021,4 killed in road accidents across Bangladesh,4 killed in road accidents across...,4,0
Dhaka Tribune,May 3 2021,Road accident kills three in Sylhet,Road accident kills three in,3,0
Dhaka Tribune,May 2 2021,Policewoman on bike killed in road accident,Policewoman on bike killed in road...,1,0
Dhaka Tribune,May 1 2021,Road crashes kill 8 in 6 districts,Road crashes kill 8 in 6 districts,8,0
Dhaka Tribune,May 1 2021,Road crashes kill 2 in Dhaka,Road crashes kill 2 in Dhaka,2,0
Dhaka Tribune,Apr 29 2021,Road crash kills man out to buy medicine,Road crash kills man out to buy...,1,0
Dhaka Tribune,Apr 20 2021,3 killed in Comilla road accident,3 killed in Comilla road accident,3,0
Dhaka Tribune,Apr 19 2021,3 Bangladeshis die in Oman road accident,3 Bangladeshis die in Oman road...,3,0
Dhaka Tribune,Apr 14 2021,22 killed in road accident in Egypt,22 killed in road accident in,22,0
Dhaka Tribune,Apr 13 2021,3 including child killed in Comilla road accident,3 killed in Comilla road accident,3,0
Dhaka Tribune,Apr 7 2021,"4 killed in road accident in Dhaka, Rajshahi","4 killed in road accident in Dhaka,...",4,0
Dhaka Tribune,Apr 5 2021,21 cops injured in Brahmanbaria road accident,21 cops injured in Brahmanbaria road...,0,0
Dhaka Tribune,Mar 31 2021,3 die in Sylhet road accident,3 die in Sylhet road accident,3,0
Dhaka Tribune,Mar 31 2021,4 killed in Chittagong road crash,4 killed in Chittagong road crash,4,0
Dhaka Tribune,Mar 30 2021,Dhaka-Khulna Highway turns into death trap,Dhaka-Khulna Highway turns into death...,,0
Dhaka Tribune,Mar 28 2021,"8 killed, 3 injured in road accidents","8 killed, 3 injured in road...",8,0
Dhaka Tribune,Mar 26 2021,Bus-microbus collision leaves 17 dead in Rajshahi,Bus-microbus collision leaves 17 dead...,17,0
Dhaka Tribune,Mar 26 2021,1 killed in Narsingdi road accident,1 killed in Narsingdi road,1,0
Dhaka Tribune,Mar 21 2021,8 killed in Faridpur road crashes,8 killed in Faridpur road crashes,8,0
Dhaka Tribune,Mar 20 2021,"4 killed, 9 injured in Bogra road accident","4 killed, 9 injured in Bogra road...",4,0
Dhaka Tribune,Mar 15 2021,Driver arrested over two musicians’ death in road accident,Driver arrested over two musicians’...,2,0
Dhaka Tribune,Mar 13 2021,Lorry-microbus collision kills two musicians in Chittagong,2 musicians killed in Chittagong road...,2,0
Dhaka Tribune,Mar 12 2021,Bus-easybike collision kills two in Jessore,2 killed in Jessore road accident,2,0
Dhaka Tribune,Mar 12 2021,"Garment workers vandalize, torch vehicles in Ashulia as road accident kills one","Garment workers vandalize, torch vehicles...",1,0
Dhaka Tribune,Mar 8 2021,No respite from road accidents on Sylhet-Dhaka Highway,No respite from road accidents on Sylhet-Dhaka...,0,0
