Accident date,Header,Location_appox,location,Latitude,Longitude
2021-01-19,Policeman dies in road accident in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-01-13,"6 killed, 4 injured in Jhenaidah road accident","Jhenaidah, Bangladesh","ঝিনাইদহ, ঝিনাইদহ জেলা, খুলনা বিভাগ, 7300, বাংলাদেশ",23.5448144,89.1734196
2021-01-06,Man killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-12-23,Woman knocked down by car in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-12-08,5 killed in Tangail road accident,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2020-12-07,3 of a family among 8 killed in Habiganj bus-autorickshaw collision,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2020-12-04,6 killed in Tangail road accident,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2020-12-01,3 killed in Chandpur road accident,"Chandpur, Bangladesh","Chandpur, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",24.426694750000003,91.96290920902106
2020-11-23,Bangladeshi student killed in Australia road accident,"Australia, Bangladesh","High Commission for the People's Republic of Bangladesh, 57, Culgoa Circuit, O'Malley, District of Woden Valley, Australian Capital Territory, 2606, Australia",-35.3506169,149.1069171
2020-11-22,3 killed in Bogra road accident,"Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2020-11-11,Woman killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-11-03,5 killed in truck-ambulance collision in Kushtia,"Kushtia, Bangladesh","কুষ্টিয়া, Shonar Bangla Road, কুষ্টিয়া জেলা, খুলনা বিভাগ, 07000, বাংলাদেশ",23.8987955,89.1295536
2020-11-02,Three killed in Chandpur road accident,"Chandpur, Bangladesh","Chandpur, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",24.426694750000003,91.96290920902106
2020-10-26,4 killed in Cox’s Bazar road crash,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2020-10-16,"Boy killed in Dhaka road accident, locals stage demonstrations","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-10-12,"Mother killed, daughter injured, in Dhaka road accident","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-10-08,4 killed in separate road accidents in Khulna,"Khulna, Bangladesh","খুলনা বিভাগ, বাংলাদেশ",22.9372087,89.2852741
2020-10-08,Road accidents kill 2 in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-10-02,Intern doctor killed in Sirajganj road accident,"Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2020-09-21,"PIB director killed, one injured in Dhaka road crash","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-09-18,"4 killed, 20 injured in Magura road crash","Magura, Bangladesh","মাগুরা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",23.488333,89.42
2020-09-07,Four killed in Habiganj road accident,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2020-08-30,DU student among 3 killed in Cox’s Bazar road accident,"Cox's Bazar, Bangladesh","কক্সবাজার জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",21.16587175,92.03996424949702
2020-08-21,4 of a family killed in Tangail road crash,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2020-08-19,1 killed in collision between bus and motorcycle in Jatrabari,"Jatrabari, Bangladesh","Jamia Islamia Darul Ulum Madania, 312, Jatrabari, দক্ষিণ যাত্রাবাড়ি, বাংলাদেশ ব্যাংক কলোনী, ডেমরা, ঢাকা জেলা, ঢাকা বিভাগ, 1232, বাংলাদেশ",23.7068914,90.4379131
2020-08-14,Man killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-08-02,ATN News official among 2 killed in Meherpur road crash,"Meherpur, Bangladesh","মেহেরপুর জেলা, খুলনা বিভাগ, 7100, বাংলাদেশ",23.7751475,88.6311437
2020-07-29,Three killed in Chandpur road crash,"Chandpur, Bangladesh","Chandpur, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",24.426694750000003,91.96290920902106
2020-07-07,Three of a family killed in Comilla road accident,"Comilla, Bangladesh","কুমিল্লা, কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, 3500, বাংলাদেশ",23.4610615,91.1808748
2020-07-04,"Four killed in Gazipur, Lakshmipur road crashes","Gazipur, Bangladesh","গাজীপুর, গাজীপুর জেলা, ঢাকা বিভাগ, 1701, বাংলাদেশ",23.9980797,90.4229848
2020-07-01,"Road accident kills 4, injures 6 in Rangpur","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2020-06-28,3 killed as truck crashes into the divider on Tangail highway,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2020-06-24,Road accident claims two lives in Sirajganj,"Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2020-06-23,2 killed as tree falls on motorcycle in Habiganj,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2020-06-17,Three killed in Sirajganj road accident,"Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2020-06-13,Road crash kills two BGB troopers in Rajshahi,"Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2020-05-28,Two students killed in motorbike crash in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-05-22,3 die in Narayanganj road accident,"Narayanganj, Bangladesh","নারায়ণগঞ্জ, নারায়নগঞ্জ জেলা, ঢাকা বিভাগ, 1400, বাংলাদেশ",23.6238108,90.4999662
2020-05-11,Agriculture officer killed in Habiganj road crash,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2020-04-28,"Two farm workers killed, four injured in Bogra road accident","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2020-04-16,"1 soldier killed, 21 injured as army truck crashes in Dhaka","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-03-25,Woman killed in Savar road accident,"Savar, Bangladesh","সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1340, বাংলাদেশ",23.8477,90.2587
2020-03-06,10 people killed as microbus rams into tree in Habiganj,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2020-02-26,5 killed in Dhaka road accidents,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-02-26,4 killed in Dhaka road accidents,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-02-24,4 killed in road accidents in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-02-23,18 injured as private car ploughs through crowd in Kurmitola,"Kurmitola, Bangladesh","কুর্মিটোলা, সেক্টর ২, ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.8495033,90.4068678
2020-02-08,"6 killed in Comilla, Cox's Bazar road accidents","Comilla, Bangladesh","কুমিল্লা, কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, 3500, বাংলাদেশ",23.4610615,91.1808748
2020-02-04,1 killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-01-28,Bus race kills motorcyclist in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-01-28,1 killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-01-28,"4 killed in Moulvibazar, Habiganj road accidents","Moulvibazar, Bangladesh","Moulvibazar, মৌলভীবাজার, মৌলভিবাজার জেলা, সিলেট বিভাগ, বাংলাদেশ",24.5508121,91.7110348
2020-01-17,3 killed in Chittagong road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2020-01-17,4 killed in Dhaka road accidents,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-01-14,2 killed in Dhaka road accidents,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2020-01-06,Family of 4 killed in Faridpur road accident,"Faridpur, Bangladesh","ফরিদপুর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.6040182,89.8415542
2020-01-01,Youth killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-12-24,4 of a family among 5 killed in Kushtia road crash,"Kushtia, Bangladesh","কুষ্টিয়া, Shonar Bangla Road, কুষ্টিয়া জেলা, খুলনা বিভাগ, 07000, বাংলাদেশ",23.8987955,89.1295536
2019-12-20,DMCH staff killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-12-13,Truck kills college student in Demra,"Demra, Bangladesh","Demra, পাবনা জেলা, রাজশাহী বিভাগ, 6650, বাংলাদেশ",24.1392046,89.4733047
2019-12-06,Three of a family killed in Tangail road accident,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2019-12-04,Man killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-11-26,3 killed in Faridpur road accident,"Faridpur, Bangladesh","ফরিদপুর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.6040182,89.8415542
2019-11-23,Police: Negligence of bus driver caused Munshiganj road accident,"Munshiganj, Bangladesh","মুন্সিগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.5483797,90.5349722
2019-11-22,9 killed in Munshiganj road accident,"Munshiganj, Bangladesh","মুন্সিগঞ্জ জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.5483797,90.5349722
2019-11-17,8-year-old boy killed in Mirpur road crash,"Mirpur, Bangladesh","মিরপুর, ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.8123138,90.3596044
2019-11-13,Bus runs over 6-yr-old in Jatrabari,"Jatrabari, Bangladesh","Jamia Islamia Darul Ulum Madania, 312, Jatrabari, দক্ষিণ যাত্রাবাড়ি, বাংলাদেশ ব্যাংক কলোনী, ডেমরা, ঢাকা জেলা, ঢাকা বিভাগ, 1232, বাংলাদেশ",23.7068914,90.4379131
2019-11-12,Woman dies after being run over by bus in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-11-08,13 injured as bus falls into pond in Noakhali,"Noakhali, Bangladesh","নোয়াখালী জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",22.5313205,91.1775744276286
2019-11-06,Army personnel killed in Chittagong road crash,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2019-10-28,2 killed in Rangpur road accident,"Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2019-10-20,1 killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-10-17,Child crushed under easy-bike in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-10-16,"Bus-truck collision kills 1, injures 3 in Sirajganj","Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2019-10-13,"2 die, one injured in Dhaka road crashes","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-10-05,"4 killed in road accidents in Jessore, Dinajpur and Nilphamari","Jessore, Bangladesh","যশোর জেলা, খুলনা বিভাগ, বাংলাদেশ",23.084244400000003,89.12469390817779
2019-10-03,RAB official killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-09-28,"2 killed in road accidents in Rangpur, Feni","Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2019-09-27,1 killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-09-23,3 killed in Sherpur road accident,"Sherpur, Bangladesh","শেরপুর, শেরপুর জেলা, ময়মনসিংহ বিভাগ, 2100, বাংলাদেশ",25.0227686,90.0060793
2019-09-08,"1 killed, another injured in Dhaka road accident","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-09-06,Transport worker killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-09-01,1 killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-08-29,2 killed in Ashulia road accident,"Ashulia, Bangladesh","আশুলিয়া, সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1341, বাংলাদেশ",23.9005799,90.3255674
2019-08-28,"4 killed in Dinajpur, Jhenaidah road accidents","Dinajpur, Bangladesh","দিনাজপুর, দিনাজপুর জেলা, 5216, বাংলাদেশ",25.6260712,88.6346228
2019-08-27,"3 killed in Dhaka, Gazipur road accidents","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-08-24,Army sergeant killed in Bogra road accident,"Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2019-08-23,2 die in separate road accidents in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-08-22,1 killed in Habiganj road accident,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2019-08-07,2 killed in Habiganj road accident,"Habiganj, Bangladesh","Habiganj - Nabiganj Road, নবীগঞ্জ, হবিগঞ্জ জেলা, সিলেট বিভাগ, 3370, বাংলাদেশ",24.5379212,91.5074608
2019-08-01,Man run over by truck in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-07-25,Man dies in Bogra road accident,"Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2019-07-24,3 killed in Narayanganj road accident,"Narayanganj, Bangladesh","নারায়ণগঞ্জ, নারায়নগঞ্জ জেলা, ঢাকা বিভাগ, 1400, বাংলাদেশ",23.6238108,90.4999662
2019-07-20,"3 killed in Faridpur, Bogra road accidents","Faridpur, Bangladesh","ফরিদপুর, ফরিদপুর জেলা, ঢাকা বিভাগ, বাংলাদেশ",23.6040182,89.8415542
2019-07-19,"3 killed in Tangail, B’baria road accidents","Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2019-07-13,"3 killed in Gaibandha, Bogra road accidents","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2019-07-08,1 killed in Narayanganj road accident,"Narayanganj, Bangladesh","নারায়ণগঞ্জ, নারায়নগঞ্জ জেলা, ঢাকা বিভাগ, 1400, বাংলাদেশ",23.6238108,90.4999662
2019-07-08,2 killed as train hits truck in Gazipur,"Gazipur, Bangladesh","গাজীপুর, গাজীপুর জেলা, ঢাকা বিভাগ, 1701, বাংলাদেশ",23.9980797,90.4229848
2019-07-07,Traffic police killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2019-06-29,Rangpur road accident kills 3,"Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2019-06-28,"1 killed, 3 injured in Brahmanbaria road accident","Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
