Accident date,Header,Location_appox,location,Latitude,Longitude
2021-06-26,Two labourers killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-06-23,Three killed in Muktagacha road accident,"Muktagacha, Bangladesh","মুক্তাগাছা, ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",24.7651553,90.2583669
2021-06-19,Truck-pickup van collision leaves 3 dead in Narsingdi,"Narsingdi, Bangladesh","নরসিংদী, নরসিংদী জেলা, ঢাকা বিভাগ, 1602, বাংলাদেশ",23.9156451,90.6981963
2021-06-19,"Couple, infant grandson killed in Bogra bus-auto-rickshaw collision","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2021-06-19,Policeman killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-06-18,3 killed in bus-car collision in Comilla,"Comilla, Bangladesh","কুমিল্লা, কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, 3500, বাংলাদেশ",23.4610615,91.1808748
2021-06-16,"6 die in road accidents in Dhaka, Gazipur","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-06-13,"1 killed, 5 injured in Banani road crash","Banani, Bangladesh","বনানী, গুলশান, ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.790321,90.4076959
2021-06-05,Two motorcyclists killed in Naogaon road accident,"Naogaon, Bangladesh","Naogaon, নওগাঁ জেলা, রাজশাহী বিভাগ, 6500, বাংলাদেশ",24.808119150000003,88.95266066504688
2021-05-22,One killed in Tangail road crash,"Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2021-05-21,"Driver, assistant killed in pickup van-microbus collision in Brahmanbaria","Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
2021-05-21,"Truck driver injured, assistant killed in Rajshahi road crash","Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2021-05-20,3 killed in Brahmanbaria road crash,"Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
2021-05-15,"4 killed in road accidents in Tangail, Chapainawabganj","Tangail, Bangladesh","টাঙ্গাইল, টাঙ্গাইল জেলা, ঢাকা বিভাগ, 1900, বাংলাদেশ",24.2507265,89.9149441
2021-05-10,3 killed in Chittagong road accident,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2021-05-08,"4 killed in road accidents in Rajshahi, Natore","Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2021-05-01,Road crashes kill 2 in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-04-07,"4 killed in road accident in Dhaka, Rajshahi","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-04-05,21 cops injured in Brahmanbaria road accident,"Brahmanbaria, Bangladesh","ব্রাহ্মণবাড়িয়া জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",23.96059985,91.11908934668182
2021-03-31,4 killed in Chittagong road crash,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2021-03-26,Bus-microbus collision leaves 17 dead in Rajshahi,"Rajshahi, Bangladesh","রাজশাহী বিভাগ, বাংলাদেশ",24.4611511,88.6888703
2021-03-20,"4 killed, 9 injured in Bogra road accident","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2021-03-13,Lorry-microbus collision kills two musicians in Chittagong,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2021-03-12,"Garment workers vandalize, torch vehicles in Ashulia as road accident kills one","Ashulia, Bangladesh","আশুলিয়া, সাভার, সাভার উপজেলা, ঢাকা জেলা, ঢাকা বিভাগ, 1341, বাংলাদেশ",23.9005799,90.3255674
2021-02-23,"6 killed, 23 injured in bus-truck collisions in Sirajganj, Rajshahi","Sirajganj, Bangladesh","সিরাজগঞ্জ, সিরাজগঞ্জ জেলা, রাজশাহী বিভাগ, 6700, বাংলাদেশ",24.4566253,89.7081281
2021-02-22,Bus-truck collision leaves 2 dead in Chittagong,"Chittagong, Bangladesh","চট্টগ্রাম, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, 4000, বাংলাদেশ",22.3364709,91.8260479
2021-02-21,"6 killed, multiple injured as bus, truck collide head-on in Bogra","Bogra, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
2021-02-19,Two motorcyclists killed in Rangpur road accident,"Rangpur, Bangladesh","রংপুর, রংপুর জেলা, 5400, বাংলাদেশ",25.7569808,89.241459
2021-02-10,"11 killed, multiple injured in tragic bus-truck collision in Jhenaidah","Jhenaidah, Bangladesh","ঝিনাইদহ, ঝিনাইদহ জেলা, খুলনা বিভাগ, 7300, বাংলাদেশ",23.5448144,89.1734196
2021-02-09,Bus driver’s assistant dies in Dhaka,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-01-28,10-year-old boy killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
2021-01-20,One killed in Dhaka road accident,"Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
