Date,Deaths,Prediction
2020-02-16,32.0,19.929419
2020-02-23,20.0,16.473763
2020-03-01,47.0,25.173481
2020-03-08,37.0,21.198391
2020-03-15,39.0,30.510065
2020-03-22,39.0,27.681454
2020-03-29,26.0,22.724018
2020-04-05,2.0,7.703293
2020-04-12,0.0,4.2912455
2020-04-19,1.0,2.6824636
2020-04-26,14.0,2.9984992
2020-05-03,213.0,18.580208
2020-05-10,0.0,1.0391915
2020-05-17,1.0,26.288141
2020-05-24,27.0,4.8192296
2020-05-31,2.0,6.1680393
2020-06-07,14.0,7.2081623
2020-06-14,4.0,6.858968
2020-06-21,3.0,9.4745865
2020-06-28,10.0,6.5717325
2020-07-05,9.0,8.2847395
2020-07-12,3.0,9.17159
2020-07-19,0.0,5.7965484
2020-07-26,9.0,4.4891915
2020-08-02,7.0,4.4661617
2020-08-09,21.0,15.043782
2020-08-16,14.0,14.106606
2020-08-23,8.0,12.799114
2020-08-30,8.0,12.436532
2020-09-06,0.0,6.416896
2020-09-13,15.0,7.71937
2020-09-20,9.0,6.2567034
2020-09-27,5.0,11.231999
2020-10-04,1.0,6.913375
2020-10-11,6.0,6.0600076
2020-10-18,2.0,3.5607789
2020-10-25,0.0,4.818042
2020-11-01,4.0,3.1664693
2020-11-08,8.0,3.227059
2020-11-15,1.0,5.665398
2020-11-22,15.0,8.910797
2020-11-29,0.0,4.2939587
2020-12-06,9.0,5.5458164
2020-12-13,38.0,7.99307
2020-12-20,0.0,3.6484566
2020-12-27,1.0,1.6316452
2021-01-03,22.0,4.1030054
2021-01-10,1.0,5.388818
2021-01-17,6.0,5.2563787
2021-01-24,5.0,4.081623
2021-01-31,1.0,6.04945
2021-02-07,37.0,10.446176
2021-02-14,16.0,11.633612
2021-02-21,12.0,14.840462
2021-02-28,36.0,20.670677
2021-03-07,23.0,16.951555
2021-03-14,5.0,10.843302
2021-03-21,14.0,14.338937
2021-03-28,26.0,14.098031
2021-04-04,7.0,11.153345
2021-04-11,4.0,12.89887
2021-04-18,25.0,12.544204
2021-04-25,6.0,9.852995
