links,Year,date,titles,News,Location_appox,location,Latitude,Longitude
https://www.observerbd.com/news.php?id=319338,2021,28-Jun,"2 killed, 5 injured in Cumilla road accident
","Two were killed and five others were severely injured as a bus fell into a roadside ditch on the Dhaka-Chittagong highway in Chandina at early Monday.The identities of the deceased and injured persons could not be known immediately, police said.Elliot Ganj Highway Police Assistant Sub-Inspector (ASI) Ali told BSS that the accident occurred near Chandina Palaki Cinema Hall area around 5.30 am, when a CDM Paribahan bus fell into a roadside ditch as its driver lost control over the steering, leaving the bus driver and helper dead on the spot and injuring others.Being informed, police rushed to the spot and rescued the injured persons in critical condition.The wounded were taken to Chandina Upazila Health Complex for treatment, the ASI said.“The bodies have been kept in the morgue,” he said, adding that  police are trying to find out the identities of the deceased.ALM ","Chandina, Bangladesh","চান্দিনা, কুমিল্লা জেলা, চট্টগ্রাম বিভাগ, 3510, বাংলাদেশ",23.4883756,91.0078123
https://www.observerbd.com/news.php?id=319194,2021,27-Jun,Four killed in Jashore accident on way to buy cattle,"Four killed in Jashore accident on way to buy cattleFour cattle traders were killed and one was injured when a truck smashed their private car in Jashore district town on Sunday.Critically injured trader is now undergoing treatment at Jashore-250 Bed General Hospital.Three of the deceased were identified as Noyon, Nayeem and Jonny. All of them hailed from Chattogram.Police said the four cattle traders were going to Satmail in Sharsha upazila to buy cows. When the car reached Malonchi, the truck from opposite side rammed the vehicle, leaving three including the car driver dead on the scene.Later, another one succumbed to his wounds after taking Jashore Hospital. TF                                                                                                                                                                          	    ","Jashore, Bangladesh","যশোর, যশোর জেলা, খুলনা বিভাগ, 7400, বাংলাদেশ",23.1665971,89.2095143
https://www.observerbd.com/news.php?id=318258,2021,21-Jun,"Man, nephew killed in Chattogram bike accident","Man, nephew killed in Chattogram bike accidentTwo motorcyclists were killed and another was injured in a road accident at Economic Zone area in Mirsarai upazila of Chattogram district on Sunday night.The deceased were identfiied as Zabed Hossain, 30 and his nephew Nazmul Hossain, 12 of the upazila.The accident occurred around 10 pm when the motorbike off the road after its rider lost control over it , leaving three people injured, said Shilbrata Barua, assistant sub-inspector of Chattogram Medical College and Hospital police camp.Later, they were taken to the hospital where the doctors declared the two dead.                                                	    ","Mirsarai, Bangladesh","Mirsarai Upazila Code Road, চট্টগ্রাম জেলা, চট্টগ্রাম বিভাগ, বাংলাদেশ",22.7744559,91.5631919
https://www.observerbd.com/news.php?id=317968,2021,19-Jun,NGO worker killed in Bhola road accident,"NGO worker killed in Bhola road accidentA worker of a non-government organization (NGO) was killed in a road accident at Sadar upazila in Bhola district on Saturday morning.Deceased Md Nure Alam, 40, was a resident of ward No.5 of Borhanuddin upazila. Witnesses said two motorcycles collided head-on at Dighaldi area at about 10:30am, leaving one bike rider Nure Alam dead on the spot.Bhola Sadar Police Station officer in-charge Md Enayet Hossain confirmed the matter.AM/MUS   ","Bhola, Bangladesh","ভোলা জেলা, বরিশাল বিভাগ, বাংলাদেশ",22.33654225,90.84390156623374
https://www.observerbd.com/news.php?id=317963,2021,19-Jun,Three killed in Narsingdi road accident,"Three killed in Narsingdi road accidentThree persons were killed as a truck and pickup van collided head-on at Chirmari area in Narsingdi district on Saturday morning.The deceased were identified as Sahabuddin, son of late Nazimuddin, Moti Mia, son of Kamal Uddin, hailed from Choto Sadipur village; and pickup van driver Abir, of Bari Majlis village in Mograpara union under Sonargaon upazila.Sohel Chowdhury, one of the deceased’s relative, said the accident took place in the area around 7 am, leaving the trio dead on the spot and two others injured.The injured were rushed to Narsingdi Hospital and the bodies of the deceased were sent to hospital morgue.HMR/ALM  ","Narsingdi, Bangladesh","নরসিংদী, নরসিংদী জেলা, ঢাকা বিভাগ, 1602, বাংলাদেশ",23.9156451,90.6981963
https://www.observerbd.com/news.php?id=317954,2021,19-Jun,"Couple, daughter killed in Bogura road accident","Couple, daughter killed in Bogura road accidentA couple and their minor daughter were killed and several others injured as a bus hit a CNG-run auto-rickshaw on the Bogura-Rangpur highway in Bogura district on Saturday.The deceased were identified as Ashraf Uddin, 50, his wife Parul Begum, 42, their one and a half-month-old daughter, hailed from Saghata upazila in Gaibandha district.Gobindaganj Highway Police Station officer in-charge (OC) Khairul Islam said a Rangpur-bound passenger bus coming from opposite direction rammed into the auto-rickshaw carrying the trio in Hatibandha area in the morning, leaving the couple dead on the spot and the child critically injured.The injured was rushed to Shaheed Ziaur Rahman Medical College Hospital where she succumbed to her injuries.The couple was going to Bogura district town t see doctor for their daughter.Meanwhile, the auto-rickshaw driver and another of its passenger are also undergoing treatment at the hospital while arround 15 passengers of the bus also received minor injuries. Most of them received first aid.Police seized the vehicles, but the bus driver and its helper fled the scene.AZ/ALM ","Bogura, Bangladesh","বগুড়া, বগুড়া জেলা, রাজশাহী বিভাগ, 5800, বাংলাদেশ",24.8500662,89.3728431
https://www.observerbd.com/news.php?id=317179,2021,14-Jun,"Injured in Narsingdi accident, police official dies ","Injured in Narsingdi accident, police official dies A police official, who received critical injuries in a road accident at Raipura upazila in Narsingdi, died at a Dhaka hospital early Monday. Monwar Hossain, 44, a sub-inspector of Raipura Police Station, succumbed to his injuries at the Intensive Care Unit (ICU) of Evercare Hospital at about 2:00am. However, the body was taken to his village home at Kulaich village under Panchbibi upazila in Joypurhat district this morning for burial. On June 7, a Chattogram bound train of 'Sonar Bangla Express' hit a private car, carrying three on-duty policemen-- SI Monwar, SI Shahin, and constable Salauddin-- at Sapmara Bazar Rail Crossing in Raipura, leaving the trio injured. Monwar and Shahin were admitted to the ICU in a critical condition while Salauddin was given first at a local hospital. SI Monwar dies at the ICU after fighting for life for six days, the police station OC Golam Mostafa confirmed. Meanwhile, a pal of gloom descendant on among the police personnel at the police station hearing the death news of their fellow mates. TK/MUS ","Narsingdi, Bangladesh","নরসিংদী, নরসিংদী জেলা, ঢাকা বিভাগ, 1602, বাংলাদেশ",23.9156451,90.6981963
https://www.observerbd.com/news.php?id=317015,2021,13-Jun,Sexagenarian man killed in Pirojpur road accident,"A 65-year-old man was killed as a van turned turtle at Bhandaria upazila in Pirojpur district on Sunday morning.Decased Nasir Hawlader was the son of Telikhali village in the upazila.Locals said a van overturned in an intersection adjacent to Jomaddar Bari on the Ikri-Telikhali road in the morning, leaving Nasir dead on the spot and van puller Rakib Hawlader injured.Bhandaria Police Station officer in-charge (OC) Md Masmur Rahman Biswas confirmed the matter.RM/ALM ","Bhandaria, Bangladesh","ভাণ্ডারিয়া, ভান্ডারিয়া উপজেলা, পিরোজপুর জেলা, বরিশাল বিভাগ, 8550, বাংলাদেশ",22.487683,90.0643776
https://www.observerbd.com/news.php?id=316992,2021,13-Jun,"One killed, 5 injured in Dhaka road accident","One killed, 5 injured in Dhaka road accidentA pickup van driver was killed and five others were injured in a road accident in fron of Banani Rail Station in the capital early hours of Sunday.The deceased was identified as Abdul Jalil Mollah, 40.A private car hit the pickup van carrying some 10-12 workers from behind and the pickup van overturned on the road, said Banani Police Station SI Mir Mohammad Mahfuzur Rahman.Driver Jalil and five others were wounded in the accident.They were sent to Dhaka Medical College Hospital (DMCH) where the on-duty doctors decleared Jalil dead.Five others left the hospital after receiving the first aid, the SI said.  TF ","Dhaka, Bangladesh","ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.810651,90.4126466
https://www.observerbd.com/news.php?id=316991,2021,13-Jun,2 killed in road accident on Bangabandhu bridge,"2 killed in road accident on Bangabandhu bridge Two persons were killed and seven others injured in a terrible road accident on the Bangabandhu bridge in Sirajganj district early Sunday.The deceased were identified as Majnu, 33, and Nazrul Islam, 34. Both of them hailed from Nilphamari district.The accident took place near Pillar No. 18 in the middle of the bridge around 3:30 am.Following the accident, movement of the vehicles in the North Bengal-bound lane have been kept close for about an hour which caused severe traffic congestion in the Dhaka-bound lane.Bangabandhu Bridge Traffic Control Room sources said a Dhaka-bound lorry overturned on the bridge after a bus of Shyamoli Paribahan hit the vehicle from behind and the lorry caught fire.On information, fire fighting members went to the spot and doused the fire, said Bangabandhu Bridge West Police Station officer in-Charge (OC) Mosaddek Hossain.Two persons died and seven others injured in the accident.The injured were rushed to Tangail Sadar Hospital and the bodies were sent to Sirajganj 250 bed Bangamata Sheikh Fazilatunnesa Mujib General Hospital morgue.AB/ALM/TF  ","Bangabandhu, Bangladesh","বঙ্গবন্ধু জাতীয় স্টেডিয়াম, বঙ্গবন্ধু এভিনিউ, ফকিরাপুল, গুলিস্তান, ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",23.7280069,90.41353497884484
